Navn;Stasjon;Tid(norsk normaltid);Lufttrykk i stasjonsnivå;Lufttrykk i havnivå
Oslo - Blindern;SN18700;18.09.2026 17:00;984,9;996,2
Oslo - Blindern;SN18700;18.09.2026 18:00;985,3;996,6
Oslo - Blindern;SN18700;18.09.2026 19:00;985,6;996,9
Oslo - Blindern;SN18700;18.09.2026 20:00;986,3;997,7
Oslo - Blindern;SN18700;18.09.2026 21:00;987;998,4
Oslo - Blindern;SN18700;18.09.2026 22:00;987,3;998,7
Oslo - Blindern;SN18700;18.09.2026 23:00;987,4;998,9
Oslo - Blindern;SN18700;19.09.2026 00:00;987,3;998,8
Oslo - Blindern;SN18700;19.09.2026 01:00;987,5;999
Oslo - Blindern;SN18700;19.09.2026 02:00;987,5;999
Oslo - Blindern;SN18700;19.09.2026 03:00;987,2;998,7
Oslo - Blindern;SN18700;19.09.2026 04:00;987;998,4
Oslo - Blindern;SN18700;19.09.2026 05:00;986,4;997,8
Oslo - Blindern;SN18700;19.09.2026 06:00;986,1;997,5
Oslo - Blindern;SN18700;19.09.2026 07:00;985,2;996,6
Oslo - Blindern;SN18700;19.09.2026 08:00;984,4;995,7
Oslo - Blindern;SN18700;19.09.2026 09:00;984;995,3
Oslo - Blindern;SN18700;19.09.2026 10:00;983,3;994,6
Oslo - Blindern;SN18700;19.09.2026 11:00;983,2;994,4
Oslo - Blindern;SN18700;19.09.2026 12:00;982,8;994
Oslo - Blindern;SN18700;19.09.2026 13:00;982,7;993,9
Oslo - Blindern;SN18700;19.09.2026 14:00;981,8;992,9
Oslo - Blindern;SN18700;19.09.2026 15:00;981,2;992,4
Oslo - Blindern;SN18700;19.09.2026 16:00;981,3;992,5
Oslo - Blindern;SN18700;19.09.2026 17:00;982;993,2
Data er gyldig per 19.09.2026 (CC BY 4.0), Meteorologisk institutt (MET);;;;
